info: Jun-21-2023 15:44:44: 	Success login :[object Object]
info: Jun-21-2023 15:46:13: 	Success login undefined - /signin - POST - ::1
info: Jun-21-2023 15:48:03: 	Success login /signin - POST - ::1
info: Jun-21-2023 15:48:14: 	Welcome user /welcome - GET - ::1
info: Jun-21-2023 15:48:28: 	Welcome user /welcome - GET - ::1
error: Jun-21-2023 15:48:38: 	500 - undefined - invalid signature - /welcome - GET - ::1
info: Jun-21-2023 17:21:02: 	Success login /signin - POST - ::1
info: Jun-26-2023 12:57:18: 	Success login /signin - POST - ::1
info: Jun-26-2023 12:57:37: 	Welcome user /welcome - GET - ::1
info: Jun-26-2023 15:22:34: 	Success login /signin - POST - ::1
info: Jun-26-2023 15:23:17: 	Welcome user /welcome - GET - ::1
error: Jun-26-2023 15:23:24: 	500 - undefined - invalid token - /welcome - GET - ::1
info: Jun-26-2023 15:23:31: 	Welcome user /welcome - GET - ::1
info: Jun-26-2023 15:23:50: 	Success login /signin - POST - ::1
info: Jun-26-2023 15:24:01: 	Success login /signin - POST - ::1
info: Jun-26-2023 15:24:24: 	Welcome user /welcome - GET - ::1
info: Jun-28-2023 15:00:49: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:03:08: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:08:23: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:10:13: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:10:44: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:11:00: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:11:18: 	Welcome user /welcome - GET - ::1
info: Jun-28-2023 15:11:30: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:11:57: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:12:19: 	Welcome user /welcome - GET - ::1
info: Jun-28-2023 15:13:21: 	Success login /signin - POST - ::1
info: Jun-28-2023 15:13:32: 	Welcome user /welcome - GET - ::1
info: Jun-28-2023 18:32:27: 	Success login /signin - POST - ::1
info: Jun-28-2023 18:32:37: 	Welcome user /welcome - GET - ::1
